level1,level2,pattern,weight
liwc,past,accepted,1
liwc,past,admitted,1
liwc,past,affected,1
liwc,past,appeared,1
liwc,past,arrived,1
liwc,past,asked,1
liwc,past,ate,1
liwc,past,became,1
liwc,past,been,1
liwc,past,began,1
liwc,past,believed,1
liwc,past,bought,1
liwc,past,brought,1
liwc,past,called,1
liwc,past,came,1
liwc,past,cared,1
liwc,past,carried,1
liwc,past,caught,1
liwc,past,changed,1
liwc,past,couldve,1
liwc,past,could,1
liwc,past,cried,1
liwc,past,depended,1
liwc,past,described,1
liwc,past,did,1
liwc,past,didnt,1
liwc,past,didn,1
liwc,past,died,1
liwc,past,disliked,1
liwc,past,done,1
liwc,past,drank,1
liwc,past,driven,1
liwc,past,drove,1
liwc,past,eaten,1
liwc,past,emailed,1
liwc,past,ended,1
liwc,past,entered,1
liwc,past,explained,1
liwc,past,fed,1
liwc,past,felt,1
liwc,past,fled,1
liwc,past,flew,1
liwc,past,followed,1
liwc,past,forgot*,1
liwc,past,fought,1
liwc,past,found,1
liwc,past,fucked*,1
liwc,past,gave,1
liwc,past,given,1
liwc,past,gone,1
liwc,past,got,1
liwc,past,gotten,1
liwc,past,guessed,1
liwc,past,had,1
liwc,past,hadnt,1
liwc,past,hadn,1
liwc,past,happened,1
liwc,past,hated,1
liwc,past,heard,1
liwc,past,held,1
liwc,past,helped,1
liwc,past,hoped,1
liwc,past,kept,1
liwc,past,knew,1
liwc,past,lied,1
liwc,past,liked,1
liwc,past,listened,1
liwc,past,lived,1
liwc,past,looked,1
liwc,past,lost,1
liwc,past,loved,1
liwc,past,made,1
liwc,past,meant,1
liwc,past,met,1
liwc,past,missed,1
liwc,past,moved,1
liwc,past,mustve,1
liwc,past,must,1
liwc,past,needed,1
liwc,past,owed,1
liwc,past,paid,1
liwc,past,played,1
liwc,past,ran,1
liwc,past,said,1
liwc,past,sat,1
liwc,past,saw,1
liwc,past,seemed,1
liwc,past,seen,1
liwc,past,sensed,1
liwc,past,sent,1
liwc,past,shared,1
liwc,past,shouldve,1
liwc,past,should,1
liwc,past,showed,1
liwc,past,slept,1
liwc,past,sold,1
liwc,past,spent,1
liwc,past,spoke*,1
liwc,past,started,1
liwc,past,stayed,1
liwc,past,stood,1
liwc,past,stopped,1
liwc,past,stuck,1
liwc,past,studied,1
liwc,past,sucked,1
liwc,past,suffered,1
liwc,past,supported,1
liwc,past,supposed,1
liwc,past,taken,1
liwc,past,talked,1
liwc,past,taught,1
liwc,past,tended,1
liwc,past,thanked,1
liwc,past,thought,1
liwc,past,threw,1
liwc,past,told,1
liwc,past,took,1
liwc,past,tried,1
liwc,past,turned,1
liwc,past,understood,1
liwc,past,used,1
liwc,past,viewed,1
liwc,past,waited,1
liwc,past,walked,1
liwc,past,wanted,1
liwc,past,was,1
liwc,past,wasnt,1
liwc,past,wasn,1
liwc,past,went,1
liwc,past,were,1
liwc,past,weren,1
liwc,past,weve,1
liwc,past,we,1
liwc,past,wished,1
liwc,past,woke,1
liwc,past,woken,1
liwc,past,won,1
liwc,past,wondered,1
liwc,past,wore,1
liwc,past,worked,1
